lat,lon,country,state,county,species,year,sex,sc,doy,elevation,tmax_wt,tmax_sp,tmin_wt,tmin_sp,ppt_wt,ppt_sp,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,LT_Tmax_wt,LT_Tmax_sp,LT_Tmin_wt,LT_Tmin_sp,LT_PPT_wt,LT_PPT_sp,Tmax_wt_anm,Tmax_sp_anm,Tmin_wt_anm,Tmin_sp_anm,PPT_wt_anm,PPT_sp_anm
40.63,-105.31,US,Colorado,Larimer,Populus tremuloides,1972,M,Colorado_Larimer,95,2359.063232421875,-0.24892921447753907,9.311012268066406,-11.43689193725586,-5.334489059448242,31.49936962127686,95.71190071105956,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,0.2834156136644098,5.389399169623352,-11.305345146696446,-8.15123559134347,47.56203218751035,136.19616822362948,-0.532344828141949,3.9216130984430544,-0.13154679055941365,2.8167465318952276,-0.3377202745018851,-0.29724968066719865
40.94,-105.08,US,Colorado,Larimer,Populus deltoides,2013,F,Colorado_Larimer,158,2359.063232421875,0.5226024627685547,6.251228713989258,-11.717349243164062,-8.952915954589844,54.61558818817139,124.5114574432373,9.4.1,High Plains,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,0.2834156136644098,5.389399169623352,-11.305345146696446,-8.15123559134347,47.56203218751035,136.19616822362948,0.2391868491041449,0.8618295443659063,-0.4120040964676157,-0.8016803632463745,0.14830224185654714,-0.08579324171004783
37.47,-108.18,US,Colorado,Montezuma,Populus tremuloides,1995,M,Colorado_Montezuma,156,2078.74853515625,4.220842361450195,10.866163635253908,-6.081933212280274,-0.8870744705200195,100.49328422546388,175.2299766540527,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,2.7758620840386827,9.49195490925252,-7.971146625583454,-3.161257870487806,96.42959529711534,90.54331987145568,1.4449802774115126,1.3742087260013882,1.8892134133031808,2.2741833999677863,0.04214151180275775,0.935316452973302
38.130252,-107.048088,US,Colorado,Hinsdale,Populus balsamifera,1965,F,Colorado_Hinsdale,148,3326.313232421875,-4.6668212890625,-1.7632410049438476,-16.368988037109375,-12.998513793945312,135.63985061645508,157.20965576171875,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,-3.189493002906694,1.8835413913766883,-16.002833845494155,-10.890118150470636,98.23276004823587,109.91127568585532,-1.4773282861558057,-3.646782396320536,-0.3661541916152195,-2.108395643474676,0.38080056541067314,0.4303323729136769
38.458197,-106.84307,US,Colorado,Gunnison,Populus angustifolia,1965,M,Colorado_Gunnison,149,2905.71240234375,-3.1604026794433593,-0.6224348545074463,-14.059005737304688,-11.68277359008789,146.13729667663574,125.94057083129884,6.2.14,Southern Rockies,6.2,WESTERN CORDILLERA,-1.9241586536453177,3.2069345505047258,-14.39692783808304,-9.197976274249934,111.04498347064197,108.3956137002416,-1.2362440257980416,-3.829369405012172,0.3379221007783535,-2.484797315837957,0.31601889711003006,0.16186039759483498
30.25,-88.11,US,Alabama,Mobile,Populus deltoides,1967,F,Alabama_Mobile,85,36.33894729614258,15.056770324707031,22.766006469726563,7.644892883300781,11.740308380126953,391.3575592041016,207.42363739013672,8.5.3,Southern Coastal Plain,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,16.25604275848906,20.45843436617811,7.8467897130675235,10.891065273765756,381.3991147322574,419.68711085055054,-1.1992724337820275,2.3075721035484484,-0.2018968297667421,0.8492431063611967,0.02611029781449567,-0.5057660051323336
33.19,-87.47,US,Alabama,Tuscaloosa,Populus deltoides,1963,M,Alabama_Tuscaloosa,68,108.2155303955078,11.045133209228515,21.19055633544922,1.2690709114074707,8.692092132568359,311.83514404296875,341.98021697998047,8.3.5,Southeastern Plains,8.3,SOUTHEASTERN USA PLAINS,12.379556707608495,18.293688342951928,3.766804699023902,7.476074239586582,407.0361347741595,398.639573543773,-1.334423498379982,2.896867992497292,-2.497733787616431,1.2160178929817764,-0.23388830277688308,-0.14213179103145662
31.04,-91.6,US,Louisiana,Concordia,Populus deltoides,1994,F,Louisiana_Concordia,89,13.463592529296877,14.850103759765624,21.3072021484375,5.726948928833008,9.70647201538086,444.502815246582,484.8235855102539,8.5.2,Mississippi Alluvial Plain,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,15.427821919069451,20.98578861781529,6.033901078822249,9.78320925993078,397.4242689565885,419.20711139598814,-0.5777181593038296,0.321413530622209,-0.30695214998924136,-0.07673724454991948,0.11845916308431576,0.15652519322909017
34.92,-82.43,US,South Carolina,Greenville,Populus alba,1968,F,South Carolina_Greenville,85,330.6293029785156,11.894654846191406,17.551229858398436,3.530312728881836,3.5786231994628905,319.4243507385254,341.79649353027344,8.3.4,Piedmont,8.3,SOUTHEASTERN USA PLAINS,10.257470072730111,15.85839818746102,1.683046265534931,5.098587969291111,366.1663424692315,378.420657564051,1.6371847734612928,1.6928316709374158,1.8472664633469051,-1.5199647698282202,-0.1276523435100642,-0.0967816193479834
38.02,-102.03,US,Kansas,Hamilton,Populus deltoides,1983,F,Kansas_Hamilton,142,1051.5950927734375,6.479302215576172,10.892293548583984,-5.045737838745117,-0.2364213466644287,54.61969566345215,130.98577690124512,9.4.1,High Plains,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,5.709694345421711,13.763243590282794,-5.880913240141787,-1.1201404333164704,27.015343732346416,113.74402381992893,0.7696078701544611,-2.8709500416988103,0.8351754013966701,0.8837190866520417,1.0218027282789697,0.15158381515157285
35.372698,-90.261361,US,Arkansas,Crittenden,Populus deltoides,1978,M,Arkansas_Crittenden,96,63.00248718261719,9.25964813232422,14.268502807617187,0.7635120868682861,3.8541446685791017,284.2401237487793,382.5722351074219,8.5.2,Mississippi Alluvial Plain,8.5,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,10.349704697172522,16.98670978706424,2.0082609178050093,6.263083894242761,348.63957079547947,383.97676048471146,-1.090056564848302,-2.718206979447052,-1.2447488309367232,-2.408939225663659,-0.1847164018122271,-0.003657839540905
32.58685,-117.04612,US,California,San Diego,Populus fremontii,2019,F,California_San Diego,96,599.98614501953125,16.764062500000023,17.695703125000023,6.5441162109375455,7.677709960937534,211.153984375,74.97305053710937,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,15.83331344733804,18.83119291417739,4.503984832763672,6.198639439174108,175.88857166046245,100.67485686338748,0.930749052661982,-1.1354897891773668,2.0401313781738732,1.4790705217634263,0.2004986019365394,-0.255295186176968
34.7438,-119.985,US,California,Santa Barbara,Populus fremontii,1938,M,California_Santa Barbara,99,546.47509765625,15.992945861816406,13.310159301757812,6.31475830078125,4.797048187255859,343.57395935058594,237.3979754447937,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,13.825738564184157,15.688312133019712,4.892341876272429,5.854417822060466,234.713328874102,111.79018599607636,2.167207297632249,-2.3781528312619,1.422416424508821,-1.0573696348046069,0.4638025075042744,1.1236030097769578
34.616461,-118.741956,US,California,Los Angeles,Populus fremontii,1957,F,California_Los Angeles,90,684.34234619140625,16.84456024169922,18.079814147949214,3.222159194946289,5.793318176269532,171.23814964294434,97.89337730407716,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,14.564934804884055,17.987094872739135,3.592743814274417,5.3933878602100025,198.92332000177544,97.43696383542436,2.2796254368151647,0.0927192752100794,-0.3705846193281279,0.3999303160595291,-0.13917508695603917,0.00468419222733275
33.4418,-116.8636,US,California,Riverside,Populus fremontii,1945,F,California_Riverside,84,564.3837890625,17.195611572265626,19.27721405029297,4.530128479003906,5.306358337402344,53.145405769348145,54.36131918430328,11.1.3,Southern and Baja California Pine-Oak Mountains,11.1,MEDITERRANEAN CALIFORNIA,16.70162370972714,21.999842821650144,4.520067479893313,7.573305835243033,93.42443825412856,47.95945539816964,0.4939878625384857,-2.7226287713571757,0.01006099911059355,-2.2669474978406896,-0.43114021595950497,0.13348491414224783
39.09915,-76.638383,US,Maryland,Anne Arundel,Populus grandidentata,1986,F,Maryland_Anne Arundel,108,25.636383056640625,6.160005569458008,13.665510559082032,-2.161446762084961,1.960091972351074,190.24370765686035,115.5006332397461,8.3.5,Southeastern Plains,8.3,SOUTHEASTERN USA PLAINS,7.132343921823018,11.87089386306891,-0.338541708704778,1.9712535502479869,242.8090957833953,276.9488823256773,-0.9723383523650098,1.7946166960131222,-1.8229050533801832,-0.01116157789691274,-0.21648854610219123,-0.582953242960109
34.274105,-82.304709,US,South Carolina,Abbeville,Populus deltoides,1968,F,South Carolina_Abbeville,122,175.20297241210935,13.663703918457031,18.94728698730469,4.87409782409668,4.841268920898438,284.2735958099365,299.3392333984375,8.3.4,Piedmont,8.3,SOUTHEASTERN USA PLAINS,11.80384950799457,17.535935224004152,3.152004611007238,6.680520591094715,327.89906303987664,328.0579976383177,1.8598544104624608,1.4113517633005372,1.7220932130894415,-1.8392516701962771,-0.1330454159444631,-0.08754172873889972
40.541389,-74.23,US,New York,Richmond,Populus deltoides,1987,M,New York_Richmond,94,23.104795455932617,6.754606628417969,11.113157653808594,0.8719773292541504,1.849734115600586,309.51593017578125,277.0633850097656,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,1.0749110471899224,2.5162139155283683,1.870603304017745,1.3666315686339583,0.12783498840743793,-0.04991474924829572
40.61245,-74.132357,US,New York,Richmond,Populus deltoides,1925,M,New York_Richmond,95,23.104795455932617,4.661862182617187,11.057549285888673,-2.41761474609375,1.0786273002624511,245.7142791748047,228.2889060974121,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,-1.0178333986108594,2.4606055476084467,-1.4189887713301552,0.5955247532958234,-0.10464976375441476,-0.21716858189057636
40.610582,-74.165217,US,New York,Richmond,Populus tremuloides,1925,M,New York_Richmond,90,23.104795455932617,4.661862182617187,11.057549285888673,-2.41761474609375,1.0786273002624511,245.7142791748047,228.2889060974121,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,-1.0178333986108594,2.4606055476084467,-1.4189887713301552,0.5955247532958234,-0.10464976375441476,-0.21716858189057636
40.54683,-74.192151,US,New York,Richmond,Populus grandidentata,1949,F,New York_Richmond,106,23.104795455932617,6.7353767395019535,9.86346435546875,-1.1083345413208008,0.7649567604064942,412.9719467163086,268.2426300048828,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,1.0556811582739067,1.2665206171885242,-0.10970856655720618,0.28185421343986655,0.5048149879486549,-0.08016222937035535
40.602326,-74.112087,US,New York,Richmond,Populus alba,1907,F,New York_Richmond,138,23.104795455932617,4.479188919067383,8.659124755859375,-2.6155057907104493,0.0086761362850666,263.16404724121094,270.5754089355469,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,-1.200506662160664,0.06218101757914951,-1.6168798159468547,-0.47442641068156105,-0.04106512385006222,-0.07216283654112914
40.541389,-74.23,US,New York,Richmond,Populus grandidentata,1987,M,New York_Richmond,94,23.104795455932617,6.754606628417969,11.113157653808594,0.8719773292541504,1.849734115600586,309.51593017578125,277.0633850097656,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,1.0749110471899224,2.5162139155283683,1.870603304017745,1.3666315686339583,0.12783498840743793,-0.04991474924829572
40.578056,-74.125278,US,New York,Richmond,Populus grandidentata,1903,M,New York_Richmond,108,23.104795455932617,3.467449951171875,12.438401794433592,-3.1302087783813475,4.057883834838867,418.3380813598633,245.7148160934448,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,-2.212245630056172,3.8414580561533658,-2.1315828036177527,3.574781287872239,0.524368470705,-0.15741294125414293
40.554272,-74.151532,US,New York,Richmond,Populus grandidentata,1904,M,New York_Richmond,108,23.104795455932617,2.441167640686035,5.459125137329101,-4.508334732055664,-1.4220602989196778,255.19992065429688,245.24693298339844,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,5.679695581228047,8.596943738280226,-0.9986259747635946,0.4831025469666276,274.4337011683189,291.61949918762974,-3.238527940542012,-3.1378186009511246,-3.509708757292069,-1.9051628458863057,-0.07008534459193609,-0.15901737138089972
33.479304,-101.421178,US,Texas,Kimble,Populus deltoides,1976,F,Texas_Kimble,108,619.7349853515625,15.579458618164065,22.3327880859375,3.5292026519775392,9.366049194335938,27.36699104309082,260.47550201416016,9.4.1,High Plains,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,14.756670871023404,21.60331769670759,3.8740271337557655,8.25250328063965,83.70944787162846,172.6856165772476,0.8227877471406604,0.7294703892299097,-0.3448244817782262,1.1135459136962886,-0.6730716575139868,0.5083798360104962
40.2465,-76.3912,US,Pennsylvania,Lebanon,Populus grandidentata,1937,M,Pennsylvania_Lebanon,109,185.71517944335935,6.204402160644531,6.171590805053711,-0.712337589263916,-1.4292688369750977,359.2857437133789,259.816219329834,8.3.1,Northern Piedmont,8.3,SOUTHEASTERN USA PLAINS,4.757052706257772,9.155672797836177,-2.080758795425043,-0.13135336777242168,239.6324953491405,284.07261752377036,1.447349454386759,-2.9840819927824658,1.368421206161127,-1.297915469202676,0.4993197946292954,-0.08538801946268783
34.935623,-101.640358,US,Texas,Randall,Populus tremuloides,1971,M,Texas_Randall,102,1104.840576171875,13.292648315429688,18.091204833984374,-1.518933391571045,0.3255450248718262,21.31606411933899,69.81413722038269,9.4.3,Southwestern Tablelands,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,9.270195396875932,17.076901232294677,-2.99066878056122,1.5393794169427226,36.43678185252536,122.75147428090833,4.022452918553755,1.0143036016896971,1.471735388990175,-1.2138343920708965,-0.414984994953345,-0.4312562221402097
34.937171,-101.641731,US,Texas,Randall,Populus tremuloides,1971,F,Texas_Randall,102,1104.840576171875,13.292648315429688,18.091204833984374,-1.518933391571045,0.3255450248718262,21.31606411933899,69.81413722038269,9.4.3,Southwestern Tablelands,9.4,SOUTH CENTRAL SEMIARID PRAIRIES,9.270195396875932,17.076901232294677,-2.99066878056122,1.5393794169427226,36.43678185252536,122.75147428090833,4.022452918553755,1.0143036016896971,1.471735388990175,-1.2138343920708965,-0.414984994953345,-0.4312562221402097
29.249875,-103.250343,US,Texas,Brewster,Populus deltoides,1973,F,Texas_Brewster,72,1096.5889892578125,16.423748779296876,23.02353973388672,1.6692720413208009,7.777440643310547,48.16034352779389,43.47684907913208,10.2.4,Chihuahuan Desert,10.2,WARM DESERTS,15.96201094934496,23.32766663367007,2.493539804364161,7.2757044335373315,30.79835653943588,55.23585713408633,0.4617378299519164,-0.3041268997833484,-0.8242677630433599,0.5017362097732159,0.5637309564270674,-0.21288721973498093
40.967391,-76.853914,US,Pennsylvania,Northumberland,Populus tremuloides,1947,M,Pennsylvania_Northumberland,101,235.9376983642578,5.994415664672852,5.400683212280273,-2.2044681549072265,-2.84261703491211,186.34699630737305,353.7635803222656,8.4.1,Ridge and Valley,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,3.993945107590092,8.167037083922315,-2.742053449861073,-0.9518611214932108,232.635154058812,284.9192631104413,2.00047055708276,-2.7663538716420417,0.5375852949538467,-1.8907559134188991,-0.19897318588289092,0.2416274577585815
32.58777,-117.04618,US,California,San Diego,Populus fremontii,2018,F,California_San Diego,90,599.98614501953125,20.842822265625045,19.298828125000057,7.827734375000034,8.217407226562557,65.25015701293945,46.5772055053711,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,15.83331344733804,18.83119291417739,4.503984832763672,6.198639439174108,175.88857166046245,100.67485686338748,5.009508818287005,0.46763521082266735,3.323749542236362,2.018767787388449,-0.6290256018514995,-0.5373501690836784
32.7892,-117.1328,US,California,San Diego,Populus fremontii,2006,M,California_San Diego,106,599.98614501953125,16.337586975097658,16.350965881347655,6.522373199462891,5.748246383666992,43.96255826950073,125.60166835784912,11.1.1,"California Coastal Sage, Chaparral, and Oak Woodlands",11.1,MEDITERRANEAN CALIFORNIA,15.83331344733804,18.83119291417739,4.503984832763672,6.198639439174108,175.88857166046245,100.67485686338748,0.5042735277596169,-2.4802270328297347,2.0183883666992184,-0.4503930555071154,-0.7500544927139063,0.24759718832564623
34.587721,-111.855095,US,Arizona,Yavapai,Populus fremontii,1980,F,Arizona_Yavapai,78,1364.084716796875,13.807611083984376,14.525906372070311,-0.7044464588165283,2.546955108642578,258.3125476837158,96.5787868499756,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,11.283236552092989,17.11710289706703,-1.1132031782198757,2.8808799652893007,109.8459051697676,67.73992771854827,2.5243745318913877,-2.59119652499672,0.4087567194033471,-0.33392485664672256,1.3515901415213614,0.42572910988700075
34.6101,-112.4234,US,Arizona,Yavapai,Populus fremontii,1983,F,Arizona_Yavapai,114,1364.084716796875,9.744439697265625,14.70511474609375,-0.887783145904541,3.8020095825195313,152.72755432128906,131.0985482931137,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,11.283236552092989,17.11710289706703,-1.1132031782198757,2.8808799652893007,109.8459051697676,67.73992771854827,-1.538796854827364,-2.411988150973281,0.22542003231533447,0.9211296172302306,0.3903800427084432,0.935321644242275
32.23111,-110.95194,US,Arizona,Pima,Populus fremontii,1903,F,Arizona_Pima,59,810.1441650390625,16.400306701660156,22.30267639160156,2.6757747650146486,5.412907409667969,67.6942149400711,24.717071056365967,10.2.2,Sonoran Desert,10.2,WARM DESERTS,17.503586927510923,22.976069512888163,4.0066831248089425,7.876408857457779,72.9910160524335,32.10474149309349,-1.1032802258507672,-0.6733931212866047,-1.330908359794294,-2.4635014477898105,-0.07256785011127126,-0.23011150668560257
33.3631,-111.733,US,Arizona,Maricopa,Populus fremontii,2008,F,Arizona_Maricopa,65,506.0844421386719,16.1904052734375,25.0928466796875,5.233205413818359,10.73066635131836,101.61952686309814,11.003955602645874,10.2.2,Sonoran Desert,10.2,WARM DESERTS,18.156550042103913,24.190861895905822,4.741612543089916,9.302378708013968,67.89846222586188,33.06176685166218,-1.966144768666414,0.9019847837816748,0.491592870728443,1.428287643304392,0.4966395928830364,-0.6671697658501681
34.8933,-111.7282,US,Arizona,Coconino,Populus deltoides,2005,F,Arizona_Coconino,110,1801.40380859375,6.32873420715332,12.19598159790039,-3.511918640136719,0.6862297058105469,179.06828689575195,63.3728461265564,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,6.288391143992796,12.984271400515771,-5.089659317792472,-0.5848113600646744,79.57435122030772,60.01006150854235,0.04034306316052394,-0.7882898026153828,1.5777406776557528,1.2710410658752211,1.250326696349526,0.05603701335209194
35.180441,-111.653954,US,Arizona,Coconino,Populus tremuloides,1962,F,Arizona_Coconino,134,1801.40380859375,3.5591110229492187,9.619258880615234,-7.137989044189453,-3.5725788116455077,103.41865921020508,30.382193088531498,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,6.288391143992796,12.984271400515771,-5.089659317792472,-0.5848113600646744,79.57435122030772,60.01006150854235,-2.7292801210435775,-3.3650125199005387,-2.0483297263969815,-2.9877674515808335,0.29964816079847834,-0.49371501503615967
35.189271,-111.654594,US,Arizona,Coconino,Populus tremuloides,1981,M,Arizona_Coconino,113,1801.40380859375,11.24478988647461,11.787013244628906,-1.877291488647461,-0.18083384037017824,35.9620885848999,92.47428131103516,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,6.288391143992796,12.984271400515771,-5.089659317792472,-0.5848113600646744,79.57435122030772,60.01006150854235,4.956398742481814,-1.1972581558868676,3.212367829145011,0.40397751969449613,-0.548069346046742,0.5409796121917251
35.19806,-111.65056,US,Arizona,Coconino,Populus tremuloides,1942,M,Arizona_Coconino,108,1801.40380859375,5.769400024414063,11.62215805053711,-4.03369140625,-2.7796363830566406,75.94298648834229,45.36960166692734,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,6.288391143992796,12.984271400515771,-5.089659317792472,-0.5848113600646744,79.57435122030772,60.01006150854235,-0.5189911195787333,-1.3621133499786635,1.0559679115424716,-2.1948250229919664,-0.04563486445414705,-0.2439667528007943
34.57418,-112.42818,US,Arizona,Yavapai,Populus fremontii,1997,M,Arizona_Yavapai,86,1364.084716796875,12.031754302978516,20.189581298828124,0.32700016498565676,4.814341735839844,96.32535314559937,44.450867891311646,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,11.283236552092989,17.11710289706703,-1.1132031782198757,2.8808799652893007,109.8459051697676,67.73992771854827,0.7485177508855276,3.072478401761092,1.4402033432055323,1.9334617705505432,-0.12308653657386792,-0.3438010728916044
34.57418,-112.42818,US,Arizona,Yavapai,Populus fremontii,1997,F,Arizona_Yavapai,86,1364.084716796875,12.031754302978516,20.189581298828124,0.32700016498565676,4.814341735839844,96.32535314559937,44.450867891311646,13.1.1,Arizona/New Mexico Mountains,13.1,UPPER GILA MOUNTAINS,11.283236552092989,17.11710289706703,-1.1132031782198757,2.8808799652893007,109.8459051697676,67.73992771854827,0.7485177508855276,3.072478401761092,1.4402033432055323,1.9334617705505432,-0.12308653657386792,-0.3438010728916044
